"","Method","Num contigs","GC perc","Tax 16S","Disparity","Completeness","Contamination"
"Seagrass.metabat2.97.fa_sub.contigs","DAS",1634,60.16,"",0.037,96.1,53.64
"Seagrass.metabat2.213.fa_sub.contigs","DAS",1389,53.67,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.002,95.94,78.61
"Seagrass.concoct.379.fa_sub.contigs","DAS",3032,48.16,"",0.001,95.54,50.46
"Seagrass.metabat2.76.fa_sub.contigs","DAS",740,49.32,"",0.005,95.13,56.4
"Seagrass.metabat2.43.fa.contigs","DAS",483,60.05,"superkingdom:Bacteria",0.143,95.12,12.63
"Seagrass.metabat2.293.fa.contigs","DAS",670,47.72,"",0,95.07,16
"Seagrass.concoct.345.fa.contigs","DAS",1892,41.74,"",0.119,94.79,9.1
"Seagrass.metabat2.126.fa.contigs","DAS",345,55.88,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales;family:Ectothiorhodospiraceae;genus:Thiogranum",0.004,94.77,8.13
"Seagrass.metabat2.279.fa_sub.contigs","DAS",947,57.67,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales",0.002,94.71,51.85
"Seagrass.metabat2.344.fa_sub.contigs","DAS",1021,51.39,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Ahrensiaceae;genus:Pseudahrensia",0.087,94.57,80.53
"Seagrass.concoct.22.fa_sub.contigs","DAS",4982,66.26,"",0.361,93.82,33.08
"Seagrass.metabat2.27.fa.contigs","DAS",351,51.8,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0,93.81,5.14
"Seagrass.concoct.267.fa_sub.contigs","DAS",3674,66.68,"",0,93.73,20.89
"Seagrass.metabat2.94.fa_sub.contigs","DAS",811,72.17,"",0.019,93.58,39.38
"Seagrass.metabat2.434.fa.contigs","DAS",512,41.98,"",0.006,93.56,7.11
"Seagrass.metabat2.133.fa.contigs","DAS",312,63.36,"superkingdom:Bacteria",0.007,93.22,4.6
"Seagrass.metabat2.146.fa.contigs","DAS",747,41.72,"",0.023,93.21,12.09
"Seagrass.metabat2.116.fa_sub.contigs","DAS",736,55.62,"",0.023,93.15,18.93
"Seagrass.metabat2.44.fa_sub.contigs","DAS",216,59.89,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Hyphomicrobiaceae;genus:Filomicrobium",0,93.09,31.14
"Seagrass.metabat2.196.fa_sub.contigs","DAS",783,37.67,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae",0,92.51,51.85
"Seagrass.concoct.384.fa_sub.contigs","DAS",2613,59.37,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.013,92.28,22.55
"Seagrass.metabat2.266.fa.contigs","DAS",359,42.47,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0,92.25,5.16
"Seagrass.metabat2.70.fa.contigs","DAS",542,53.81,"",0,92.13,12.69
"Seagrass.metabat2.300.fa_sub.contigs","DAS",932,38.58,"",0.014,92.1,27.08
"Seagrass.metabat2.372.fa.contigs","DAS",1012,45.01,"superkingdom:Bacteria",0.12,92.07,15.29
"Seagrass.concoct.368.fa.contigs","DAS",2341,56.6,"",0.076,91.86,18.72
"Seagrass.metabat2.366.fa_sub.contigs","DAS",1693,43.9,"",0.004,91.81,54.11
"Seagrass.metabat2.400.fa.contigs","DAS",332,59.31,"",0.003,91.71,15.5
"Seagrass.metabat2.193.fa.contigs","DAS",198,57.26,"",0,91.6,1.07
"Seagrass.metabat2.375.fa.contigs","DAS",182,63.34,"",0.006,91.59,4.41
"Seagrass.concoct.259.fa_sub.contigs","DAS",726,62.27,"",0.014,91.54,9.21
"Seagrass.concoct.382.fa_sub.contigs","DAS",6911,39.74,"superkingdom:Bacteria",0.277,91.4,32.27
"Seagrass.concoct.81.fa_sub.contigs","DAS",4402,54.8,"",0.005,91.34,53.35
"Seagrass.metabat2.81.fa.contigs","DAS",336,47.68,"superkingdom:Bacteria",0,91.34,6.47
"Seagrass.metabat2.217.fa_sub.contigs","DAS",1318,65.27,"",0,90.88,16.45
"Seagrass.metabat2.102.fa_sub.contigs","DAS",1075,52.31,"",0.004,90.82,37.95
"Seagrass.metabat2.265.fa_sub.contigs","DAS",823,46.9,"superkingdom:Bacteria",0.016,90.73,51.74
"Seagrass.metabat2.246.fa_sub.contigs","DAS",1243,61.42,"",0.022,90.64,49.13
"Seagrass.metabat2.14.fa_sub.contigs","DAS",329,64.79,"superkingdom:Bacteria",0.03,90.09,6.72
"Seagrass.concoct.192.fa_sub.contigs","DAS",5352,61.16,"",0.033,90.01,40.31
"Seagrass.concoct.182.fa.contigs","DAS",833,54.78,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales",0.001,89.78,72.84
"Seagrass.metabat2.343.fa_sub.contigs","DAS",1153,61.46,"",0.04,89.6,11.88
"Seagrass.metabat2.392.fa.contigs","DAS",491,64.68,"",0.01,89.49,5.83
"Seagrass.metabat2.135.fa.contigs","DAS",695,43.45,"",0.03,89.22,4.56
"Seagrass.metabat2.356.fa.contigs","DAS",170,38.1,"",0,89.03,0.27
"Seagrass.metabat2.71.fa_sub.contigs","DAS",663,47.79,"",0,88.95,26.42
"Seagrass.concoct.391.fa_sub.contigs","DAS",3464,38.04,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae",0.276,88.78,23.69
"Seagrass.metabat2.282.fa.contigs","DAS",334,63.42,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales",0,88.64,0.95
"Seagrass.concoct.231.fa_sub.contigs","DAS",789,63.48,"",0.066,88.49,16.14
"Seagrass.metabat2.30.fa.contigs","DAS",505,49.56,"",0.038,88.45,5.13
"Seagrass.concoct.52.fa_sub.contigs","DAS",6359,59.84,"",0.046,88.35,49.06
"Seagrass.metabat2.230.fa_sub.contigs","DAS",1082,49.44,"",0.015,88.12,33.41
"Seagrass.metabat2.163.fa_sub.contigs","DAS",1530,64.64,"superkingdom:Bacteria",0.016,88.11,40.65
"Seagrass.metabat2.127.fa.contigs","DAS",135,50.47,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0,88.09,3.34
"Seagrass.metabat2.134.fa.contigs","DAS",849,43.53,"",0.006,87.99,39.79
"Seagrass.metabat2.371.fa.contigs","DAS",302,40.94,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Bacillota;class:Clostridia;order:Eubacteriales;family:Oscillospiraceae;genus:Pseudobacteroides",0.015,87.91,1.61
"Seagrass.concoct.185.fa_sub.contigs","DAS",2610,53.71,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.022,87.83,21.25
"Seagrass.metabat2.345.fa_sub.contigs","DAS",289,66.35,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Acidimicrobiia;order:Acidimicrobiales;family:Ilumatobacteraceae;genus:Ilumatobacter",0.007,87.62,9.21
"Seagrass.metabat2.171.fa.contigs","DAS",528,52.05,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfococcaceae;genus:Desulfonema",0,87.33,3.23
"Seagrass.metabat2.186.fa_sub.contigs","DAS",1214,65.11,"superkingdom:Bacteria",0.015,87.3,43.84
"Seagrass.metabat2.58.fa_sub.contigs","DAS",1389,66.53,"",0.007,86.92,43.69
"Seagrass.metabat2.83.fa_sub.contigs","DAS",1374,61.48,"superkingdom:Bacteria",0,86.78,29.85
"Seagrass.metabat2.429.fa_sub.contigs","DAS",356,44.31,"",0.027,86.77,5.75
"Seagrass.metabat2.337.fa_sub.contigs","DAS",481,48.26,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0,86.65,6.26
"Seagrass.metabat2.232.fa_sub.contigs","DAS",1185,36.8,"",0.094,86.34,19.97
"Seagrass.concoct.94.fa_sub.contigs","DAS",8011,52.49,"superkingdom:Archaea;phylum:Euryarchaeota|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobulbia;order:Desulfobulbales;family:Desulfobulbaceae;genus:Desulfobulbus",0.017,86.33,31.02
"Seagrass.metabat2.128.fa_sub.contigs","DAS",1075,66.66,"",0.003,86.03,74.87
"Seagrass.metabat2.320.fa_sub.contigs","DAS",1045,55.39,"",0.01,85.99,34.78
"Seagrass.metabat2.175.fa.contigs","DAS",447,68.42,"",0,85.45,13.89
"Seagrass.metabat2.179.fa.contigs","DAS",441,61.61,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Hyphomicrobiaceae;genus:Methyloceanibacter",0,85.21,47.91
"Seagrass.metabat2.326.fa_sub.contigs","DAS",465,61.13,"",0.09,85.16,3.06
"Seagrass.metabat2.168.fa_sub.contigs","DAS",1466,48.14,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.003,85.13,53.98
"Seagrass.metabat2.329.fa_sub.contigs","DAS",601,44.08,"",0,85.12,23.83
"Seagrass.concoct.115.fa_sub.contigs","DAS",2322,41.79,"",0.023,85.01,33.39
"Seagrass.metabat2.352.fa_sub.contigs","DAS",1561,68.52,"superkingdom:Bacteria",0.09,84.81,53.92
"Seagrass.metabat2.430.fa.contigs","DAS",283,68.32,"",0,84.64,4.03
"Seagrass.metabat2.93.fa_sub.contigs","DAS",1063,63.09,"",0.012,84.55,43.88
"Seagrass.concoct.98.fa_sub.contigs","DAS",604,41.06,"",0.155,84.52,9.49
"Seagrass.concoct.202.fa_sub.contigs","DAS",4109,61.33,"",0.025,84.43,27.97
"Seagrass.concoct.158.fa_sub.contigs","DAS",3466,42.38,"",0.001,84.37,22.49
"Seagrass.metabat2.117.fa_sub.contigs","DAS",737,37.93,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Phaeocystidibacteraceae;genus:Phaeocystidibacter",0.05,84.31,5.3
"Seagrass.concoct.144.fa_sub.contigs","DAS",1954,58.58,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfosarcinaceae;genus:Desulfosarcina",0.123,84.31,18.34
"Seagrass.metabat2.348.fa.contigs","DAS",645,61.37,"",0,83.81,6.29
"Seagrass.metabat2.309.fa.contigs","DAS",557,66.49,"",0.035,83.81,26.12
"Seagrass.metabat2.79.fa.contigs","DAS",638,47.72,"",0,83.71,6.57
"Seagrass.metabat2.49.fa.contigs","DAS",464,68.86,"superkingdom:Bacteria",0.029,83.35,11.53
"Seagrass.concoct.287.fa_sub.contigs","DAS",3188,49.75,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.001,83.31,28.07
"Seagrass.metabat2.17.fa.contigs","DAS",404,46.45,"superkingdom:Archaea|superkingdom:Archaea;clade:TACK group;phylum:Thermoproteota;class:Thermoprotei",0,83.23,16.06
"Seagrass.metabat2.370.fa.contigs","DAS",312,67.48,"",0.007,82.78,12.42
"Seagrass.metabat2.276.fa.contigs","DAS",424,35.25,"superkingdom:Bacteria",0.087,82.51,10.51
"Seagrass.concoct.163.fa_sub.contigs","DAS",5480,57.93,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.002,82.45,21.69
"Seagrass.concoct.36.fa_sub.contigs","DAS",6175,55.87,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Hyphomicrobiaceae;genus:Methyloceanibacter",0.005,82.16,27.29
"Seagrass.concoct.59.fa_sub.contigs","DAS",1415,43.66,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Muriicola",0.006,82.12,20.17
"Seagrass.concoct.294.fa_sub.contigs","DAS",3858,56.29,"",0.129,81.85,29.8
"Seagrass.metabat2.225.fa_sub.contigs","DAS",1176,57.98,"",0.003,81.85,58.26
"Seagrass.metabat2.90.fa_sub.contigs","DAS",523,54.66,"",0.142,81.43,6.03
"Seagrass.metabat2.394.fa.contigs","DAS",600,58.69,"superkingdom:Bacteria",0.144,81.24,11.16
"Seagrass.concoct.189.fa_sub.contigs","DAS",3471,65.79,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Rhodobacterales;family:Paracoccaceae;genus:Amaricoccus",0.082,81.13,24.06
"Seagrass.concoct.147.fa_sub.contigs","DAS",4629,39.12,"",0.045,80.99,26.85
"Seagrass.concoct.329.fa_sub.contigs","DAS",1318,61.55,"",0.009,80.94,35.47
"Seagrass.metabat2.404.fa_sub.contigs","DAS",717,57.37,"",0.008,80.66,5.43
"Seagrass.metabat2.182.fa_sub.contigs","DAS",1948,54.85,"",0.016,80.63,51.24
"Seagrass.concoct.70.fa_sub.contigs","DAS",938,48.65,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria",0.142,80.36,18.54
"Seagrass.metabat2.334.fa.contigs","DAS",583,61.25,"",0.022,80.27,1.13
"Seagrass.concoct.3.fa_sub.contigs","DAS",2788,46.53,"superkingdom:Bacteria|superkingdom:Bacteria;phylum:Campylobacterota;class:Epsilonproteobacteria;order:Campylobacterales;family:Campylobacteraceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Betaproteobacteria;order:Nitrosomonadales;family:Nitrosomonadaceae;genus:Nitrosospira",0.008,80.03,22.21
"Seagrass.metabat2.425.fa_sub.contigs","DAS",552,38.9,"superkingdom:Bacteria;phylum:Spirochaetota;class:Spirochaetia;order:Spirochaetales;family:Spirochaetaceae;genus:Salinispira",0.009,79.98,3.27
"Seagrass.metabat2.354.fa_sub.contigs","DAS",783,60.5,"",0.027,79.92,17.34
"Seagrass.concoct.175.fa_sub.contigs","DAS",6632,57.84,"",0.001,79.81,29.17
"Seagrass.metabat2.154.fa_sub.contigs","DAS",1861,48.34,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.01,79.64,25.84
"Seagrass.metabat2.340.fa_sub.contigs","DAS",735,49.13,"",0.021,79.62,4.84
"Seagrass.metabat2.56.fa.contigs","DAS",582,56.28,"",0,79.62,0.2
"Seagrass.concoct.315.fa_sub.contigs","DAS",3722,49.94,"",0.001,79.49,35.96
"Seagrass.concoct.157.fa_sub.contigs","DAS",4153,45.3,"",0.036,79.19,28.82
"Seagrass.metabat2.118.fa_sub.contigs","DAS",848,57.75,"",0.004,79.19,26.78
"Seagrass.metabat2.145.fa_sub.contigs","DAS",1740,58.01,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae",0.049,78.93,21.42
"Seagrass.metabat2.314.fa.contigs","DAS",360,52.14,"superkingdom:Bacteria",0,78.85,14.85
"Seagrass.metabat2.363.fa.contigs","DAS",802,56.06,"",0.061,78.75,4.36
"Seagrass.concoct.265.fa_sub.contigs","DAS",1795,48.13,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.01,78.66,42.61
"Seagrass.concoct.102.fa_sub.contigs","DAS",2698,53.81,"",0.392,78.41,32.35
"Seagrass.concoct.82.fa_sub.contigs","DAS",5805,51.02,"",0.044,78.37,27.34
"Seagrass.concoct.353.fa_sub.contigs","DAS",3124,56.73,"",0.139,78.17,24.86
"Seagrass.metabat2.112.fa_sub.contigs","DAS",1197,58.15,"",0.001,77.94,36
"Seagrass.concoct.297.fa_sub.contigs","DAS",2943,63.48,"",0.001,77.81,16.69
"Seagrass.concoct.240.fa_sub.contigs","DAS",2885,58.17,"",0.001,77.78,21.41
"Seagrass.metabat2.78.fa_sub.contigs","DAS",1848,55.14,"",0.034,77.63,56.9
"Seagrass.metabat2.221.fa_sub.contigs","DAS",274,54.59,"",0.005,77.43,3.2
"Seagrass.metabat2.236.fa_sub.contigs","DAS",893,57.8,"",0.019,76.67,20.24
"Seagrass.metabat2.15.fa.contigs","DAS",508,41.81,"superkingdom:Bacteria",0.002,76.54,6.7
"Seagrass.metabat2.237.fa_sub.contigs","DAS",484,66.78,"",0.003,76.51,7.03
"Seagrass.metabat2.234.fa.contigs","DAS",344,60.18,"",0.006,76.42,14.2
"Seagrass.concoct.354.fa_sub.contigs","DAS",2966,41.86,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.364,76.26,25.12
"Seagrass.metabat2.82.fa.contigs","DAS",739,60.78,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae",0,75.87,2.8
"Seagrass.concoct.164.fa_sub.contigs","DAS",3350,66.01,"",0.068,75.62,17.93
"Seagrass.metabat2.200.fa_sub.contigs","DAS",677,64.5,"",0.005,75.62,37.06
"Seagrass.concoct.129.fa_sub.contigs","DAS",4573,55.81,"",0.021,75.59,55.34
"Seagrass.concoct.53.fa_sub.contigs","DAS",1796,30.43,"",0.061,75.56,4
"Seagrass.concoct.348.fa_sub.contigs","DAS",745,39.96,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.001,75.54,10.87
"Seagrass.concoct.344.fa_sub.contigs","DAS",2392,54.44,"",0.007,75.47,23.07
"Seagrass.concoct.42.fa_sub.contigs","DAS",3222,65.94,"",0,75.28,14.13
"Seagrass.metabat2.139.fa_sub.contigs","DAS",547,45.04,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.01,75.27,21.77
"Seagrass.concoct.212.fa_sub.contigs","DAS",5190,64.89,"",0.001,75.22,25.23
"Seagrass.concoct.108.fa_sub.contigs","DAS",3810,57.68,"",0.007,75.17,40.75
"Seagrass.concoct.155.fa_sub.contigs","DAS",5560,56.26,"superkingdom:Bacteria",0.001,75.03,25.32
"Seagrass.metabat2.125.fa.contigs","DAS",731,62.45,"",0.031,74.66,2.24
"Seagrass.concoct.78.fa_sub.contigs","DAS",5237,57.35,"",0.038,74.65,31.23
"Seagrass.concoct.29.fa_sub.contigs","DAS",5713,41.64,"",0.305,74.5,30.87
"Seagrass.concoct.341.fa_sub.contigs","DAS",5095,53.65,"superkingdom:Archaea;clade:TACK group;phylum:Thermoproteota;class:Thermoprotei|superkingdom:Bacteria|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Bacillota;class:Negativicutes;order:Veillonellales;family:Veillonellaceae",0.023,74.38,19.1
"Seagrass.metabat2.74.fa.contigs","DAS",1854,69.44,"",0.026,74.35,27.49
"Seagrass.concoct.114.fa_sub.contigs","DAS",3954,47.38,"",0.005,74.23,15.18
"Seagrass.concoct.235.fa_sub.contigs","DAS",3315,62.87,"superkingdom:Bacteria",0.025,74.05,38.77
"Seagrass.concoct.72.fa_sub.contigs","DAS",4680,66.07,"",0.025,74,31.28
"Seagrass.concoct.285.fa_sub.contigs","DAS",3429,54.56,"superkingdom:Bacteria",0.001,73.59,25.69
"Seagrass.metabat2.304.fa.contigs","DAS",566,64.13,"",0.025,73.53,13.52
"Seagrass.metabat2.408.fa_sub.contigs","DAS",467,54.16,"",0.007,73.52,4.24
"Seagrass.concoct.146.fa_sub.contigs","DAS",5274,60.44,"",0.26,73.51,36.91
"Seagrass.concoct.215.fa_sub.contigs","DAS",2976,62.76,"",0.115,73.5,23.12
"Seagrass.metabat2.272.fa.contigs","DAS",767,66.93,"",0,73.36,15.5
"Seagrass.concoct.124.fa_sub.contigs","DAS",7242,59.15,"",0.282,73.29,30.8
"Seagrass.metabat2.165.fa_sub.contigs","DAS",759,49.19,"",0.035,73.02,7.63
"Seagrass.concoct.371.fa_sub.contigs","DAS",3373,47.82,"",0.002,72.98,22.5
"Seagrass.concoct.266.fa_sub.contigs","DAS",4545,57.81,"superkingdom:Bacteria|superkingdom:Bacteria;clade:PVC group;phylum:Verrucomicrobiota;class:Verrucomicrobiia;order:Verrucomicrobiales;family:Verrucomicrobiaceae;genus:Luteolibacter|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.003,72.94,15.14
"Seagrass.metabat2.106.fa.contigs","DAS",1076,67.9,"",0.099,72.8,26.05
"Seagrass.concoct.272.fa_sub.contigs","DAS",4404,44.76,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobulbia;order:Desulfobulbales;family:Desulfobulbaceae",0.306,72.7,49.78
"Seagrass.concoct.238.fa_sub.contigs","DAS",2697,45.17,"",0.218,72.44,24.97
"Seagrass.metabat2.181.fa_sub.contigs","DAS",1345,60.71,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.16,72.43,27.5
"Seagrass.concoct.355.fa.contigs","DAS",1435,52.34,"superkingdom:Bacteria",0.075,72.28,7.84
"Seagrass.concoct.271.fa_sub.contigs","DAS",2294,45.17,"",0.02,71.82,24.83
"Seagrass.concoct.49.fa_sub.contigs","DAS",2668,52.75,"",0.06,71.48,19
"Seagrass.metabat2.160.fa.contigs","DAS",692,50.47,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Syntrophobacteria;order:Syntrophobacterales",0,71.47,7.87
"Seagrass.metabat2.295.fa.contigs","DAS",441,69.82,"",0.029,71.37,2.24
"Seagrass.concoct.101.fa_sub.contigs","DAS",5863,52.62,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Cytophagia;order:Cytophagales;family:Flammeovirgaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Thermoleophilia;order:Gaiellales;family:Gaiellaceae;genus:Gaiella",0.024,71.15,22.73
"Seagrass.concoct.218.fa_sub.contigs","DAS",3472,36.23,"",0.017,71.15,30.86
"Seagrass.concoct.126.fa_sub.contigs","DAS",3871,54.3,"superkingdom:Bacteria|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.031,71.1,23.17
"Seagrass.concoct.187.fa_sub.contigs","DAS",2297,61.95,"",0.057,71.09,18.1
"Seagrass.metabat2.323.fa.contigs","DAS",441,32.6,"",0.003,70.82,2.93
