"","Sample","Measure","Value","ID","Core.Label","Plant.Bag","Site","Quad","Depth..m.","Date","group_16s"
"34","518623","Observed",3129,518623,"114","M118","SacrSH",1,1.5,"7/7/2025","groupD"
"35","518627","Observed",3146,518627,"118","M120","SacrSH",5,1.5,"7/7/2025","groupD"
"36","518629","Observed",3150,518629,"119","M122","SacrSH",7,1.5,"7/7/2025","groupD"
"37","518633","Observed",3069,518633,"121","M132","TH",1,1,"7/9/2025","groupC"
"38","518637","Observed",3137,518637,"124","M129","TH",5,2.1,"7/9/2025","groupC"
"39","518641","Observed",3072,518641,"129","M123","TH",9,3.2,"7/9/2025","groupC"
"40","518645","Observed",3070,518645,"139","M133","PadH",3,4.6,"7/10/2025","groupC"
"41","518647","Observed",3074,518647,"130","M136","PadH",5,5.5,"7/10/2025","groupC"
"42","518651","Observed",3079,518651,"134","M139","PadH",9,5.8,"7/10/2025","groupC"
"43","518514","Chao1",3073.68108108108,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"44","518515","Chao1",3004.62790697674,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"45","518517","Chao1",3031.1359223301,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"46","518524","Chao1",3011.325,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"47","518526","Chao1",3076.36809815951,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"48","518528","Chao1",3025.46634615385,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"49","518535","Chao1",3096.56741573034,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"50","518540","Chao1",3134.19867549669,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"51","518542","Chao1",3153.65671641791,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"52","518545","Chao1",3128.92727272727,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"53","518547","Chao1",3060.9,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"54","518549","Chao1",3126.75581395349,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"55","518555","Chao1",3045.29906542056,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"56","518557","Chao1",3020.5306122449,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"57","518559","Chao1",3059.45856353591,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"58","518563","Chao1",3183.40666666667,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"59","518565","Chao1",3184.51773049645,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"60","518567","Chao1",3133.44845360825,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"61","518568","Chao1",3073.71232876712,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"62","518570","Chao1",3168.155,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"63","518571","Chao1",3219.17714285714,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"64","518585","Chao1",3145.95348837209,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"65","518587","Chao1",3127.88194444444,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"66","518591","Chao1",3179.49693251534,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
"67","518595","Chao1",3069.77777777778,518595,"78","M149","SambD",3,3,"7/3/2025","groupC"
"68","518597","Chao1",3031.16455696203,518597,"72","M78","SambD",5,3.6,"7/3/2025","groupC"
"69","518601","Chao1",3100.52173913043,518601,"84","M77","SambD",9,3.2,"7/3/2025","groupC"
"70","518605","Chao1",3061.12598425197,518605,"95","M97","SambSH",3,2.2,"7/3/2025","groupC"
"71","518607","Chao1",3053.51898734177,518607,"93","M93","SambSH",5,2.1,"7/3/2025","groupC"
"72","518609","Chao1",3053.27488151659,518609,"96","M91","SambSH",7,2.1,"7/3/2025","groupC"
"73","518615","Chao1",3111.21428571429,518615,"103","M84","SacrD",3,3.2,"7/4/2025","groupD"
"74","518617","Chao1",3132.63959390863,518617,"102","M112","SacrD",5,3.1,"7/4/2025","groupD"
"75","518619","Chao1",3184.32467532468,518619,"100","M86","SacrD",7,3.1,"7/4/2025","groupD"
"76","518623","Chao1",3149.50588235294,518623,"114","M118","SacrSH",1,1.5,"7/7/2025","groupD"
"77","518627","Chao1",3153.82352941176,518627,"118","M120","SacrSH",5,1.5,"7/7/2025","groupD"
"78","518629","Chao1",3160.2808988764,518629,"119","M122","SacrSH",7,1.5,"7/7/2025","groupD"
"79","518633","Chao1",3080.78571428571,518633,"121","M132","TH",1,1,"7/9/2025","groupC"
"80","518637","Chao1",3151.68965517241,518637,"124","M129","TH",5,2.1,"7/9/2025","groupC"
"81","518641","Chao1",3086.77456647399,518641,"129","M123","TH",9,3.2,"7/9/2025","groupC"
"82","518645","Chao1",3083.80188679245,518645,"139","M133","PadH",3,4.6,"7/10/2025","groupC"
"83","518647","Chao1",3087.80597014925,518647,"130","M136","PadH",5,5.5,"7/10/2025","groupC"
"84","518651","Chao1",3087.92682926829,518651,"134","M139","PadH",9,5.8,"7/10/2025","groupC"
"85","518514","ACE",3083.96162260377,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"86","518515","ACE",3018.36862433725,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"87","518517","ACE",3042.52574729753,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"88","518524","ACE",3023.61165126099,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"89","518526","ACE",3084.44535196429,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"90","518528","ACE",3038.30094500413,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"91","518535","ACE",3105.60972967077,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"92","518540","ACE",3141.24618175616,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"93","518542","ACE",3158.86523208352,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"94","518545","ACE",3135.91723040645,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"95","518547","ACE",3069.95325902207,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"96","518549","ACE",3136.83589694798,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"97","518555","ACE",3060.19382266863,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"98","518557","ACE",3033.17145348865,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"99","518559","ACE",3068.61810017043,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"100","518563","ACE",3190.06064396468,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"101","518565","ACE",3190.02377184968,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"102","518567","ACE",3144.78361333377,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"103","518568","ACE",3086.65022652395,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"104","518570","ACE",3177.91514100536,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"105","518571","ACE",3227.24547626463,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"106","518585","ACE",3153.66830200701,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"107","518587","ACE",3133.53499521305,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"108","518591","ACE",3186.8538439565,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
"109","518595","ACE",3078.40256824321,518595,"78","M149","SambD",3,3,"7/3/2025","groupC"
"110","518597","ACE",3038.33156925802,518597,"72","M78","SambD",5,3.6,"7/3/2025","groupC"
"111","518601","ACE",3110.09954868195,518601,"84","M77","SambD",9,3.2,"7/3/2025","groupC"
"112","518605","ACE",3063.46890398487,518605,"95","M97","SambSH",3,2.2,"7/3/2025","groupC"
"113","518607","ACE",3060.88930423146,518607,"93","M93","SambSH",5,2.1,"7/3/2025","groupC"
"114","518609","ACE",3067.47121808195,518609,"96","M91","SambSH",7,2.1,"7/3/2025","groupC"
"115","518615","ACE",3121.03114809443,518615,"103","M84","SacrD",3,3.2,"7/4/2025","groupD"
"116","518617","ACE",3142.92648538265,518617,"102","M112","SacrD",5,3.1,"7/4/2025","groupD"
"117","518619","ACE",3190.11096813922,518619,"100","M86","SacrD",7,3.1,"7/4/2025","groupD"
"118","518623","ACE",3156.38719416468,518623,"114","M118","SacrSH",1,1.5,"7/7/2025","groupD"
"119","518627","ACE",3163.72730845765,518627,"118","M120","SacrSH",5,1.5,"7/7/2025","groupD"
"120","518629","ACE",3168.84917155911,518629,"119","M122","SacrSH",7,1.5,"7/7/2025","groupD"
"121","518633","ACE",3090.22829474394,518633,"121","M132","TH",1,1,"7/9/2025","groupC"
"122","518637","ACE",3160.09715818568,518637,"124","M129","TH",5,2.1,"7/9/2025","groupC"
"123","518641","ACE",3095.60896384883,518641,"129","M123","TH",9,3.2,"7/9/2025","groupC"
"124","518645","ACE",3095.65397050702,518645,"139","M133","PadH",3,4.6,"7/10/2025","groupC"
"125","518647","ACE",3099.50563885429,518647,"130","M136","PadH",5,5.5,"7/10/2025","groupC"
"126","518651","ACE",3097.42037615691,518651,"134","M139","PadH",9,5.8,"7/10/2025","groupC"
"127","518514","Shannon",3.30304627457324,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"128","518515","Shannon",3.24058488961072,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"129","518517","Shannon",3.30282478764042,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"130","518524","Shannon",3.32816604494164,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"131","518526","Shannon",3.33097455123139,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"132","518528","Shannon",3.29401807774904,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"133","518535","Shannon",3.69557003200512,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"134","518540","Shannon",3.55203288627563,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"135","518542","Shannon",3.64553180294034,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"136","518545","Shannon",3.30615185872062,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"137","518547","Shannon",3.29032416405249,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"138","518549","Shannon",3.2913798430595,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"139","518555","Shannon",3.43920761399602,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"140","518557","Shannon",3.48268702581689,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"141","518559","Shannon",3.5404749045509,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"142","518563","Shannon",3.77525240911845,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"143","518565","Shannon",3.76704819275483,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"144","518567","Shannon",3.78220960734866,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"145","518568","Shannon",3.50466998379082,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"146","518570","Shannon",3.63631161189064,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"147","518571","Shannon",3.61400401163607,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"148","518585","Shannon",3.39146171451426,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"149","518587","Shannon",3.38969086312001,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"150","518591","Shannon",3.42502880165121,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
"151","518595","Shannon",3.36137882121028,518595,"78","M149","SambD",3,3,"7/3/2025","groupC"
"152","518597","Shannon",3.53205870212668,518597,"72","M78","SambD",5,3.6,"7/3/2025","groupC"
"153","518601","Shannon",3.48823704587492,518601,"84","M77","SambD",9,3.2,"7/3/2025","groupC"
"154","518605","Shannon",3.53648521662502,518605,"95","M97","SambSH",3,2.2,"7/3/2025","groupC"
"155","518607","Shannon",3.67454967396208,518607,"93","M93","SambSH",5,2.1,"7/3/2025","groupC"
"156","518609","Shannon",3.60150335355875,518609,"96","M91","SambSH",7,2.1,"7/3/2025","groupC"
"157","518615","Shannon",3.43631293702369,518615,"103","M84","SacrD",3,3.2,"7/4/2025","groupD"
"158","518617","Shannon",3.39392348231182,518617,"102","M112","SacrD",5,3.1,"7/4/2025","groupD"
"159","518619","Shannon",3.5163839687072,518619,"100","M86","SacrD",7,3.1,"7/4/2025","groupD"
"160","518623","Shannon",3.38525640370233,518623,"114","M118","SacrSH",1,1.5,"7/7/2025","groupD"
"161","518627","Shannon",3.3879833849666,518627,"118","M120","SacrSH",5,1.5,"7/7/2025","groupD"
"162","518629","Shannon",3.39466431533561,518629,"119","M122","SacrSH",7,1.5,"7/7/2025","groupD"
"163","518633","Shannon",3.37708215740021,518633,"121","M132","TH",1,1,"7/9/2025","groupC"
"164","518637","Shannon",3.51469860762672,518637,"124","M129","TH",5,2.1,"7/9/2025","groupC"
"165","518641","Shannon",3.36131471146051,518641,"129","M123","TH",9,3.2,"7/9/2025","groupC"
"166","518645","Shannon",3.38537011765033,518645,"139","M133","PadH",3,4.6,"7/10/2025","groupC"
"167","518647","Shannon",3.42857651234241,518647,"130","M136","PadH",5,5.5,"7/10/2025","groupC"
"168","518651","Shannon",3.40232024097949,518651,"134","M139","PadH",9,5.8,"7/10/2025","groupC"
"169","518514","Simpson",0.87865883875677,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"170","518515","Simpson",0.870771287840875,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"171","518517","Simpson",0.877550629163751,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"172","518524","Simpson",0.878693206840459,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"173","518526","Simpson",0.877453881247476,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"174","518528","Simpson",0.875779752195048,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"175","518535","Simpson",0.925410384998382,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"176","518540","Simpson",0.901663477029575,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"177","518542","Simpson",0.918704941558789,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"178","518545","Simpson",0.889467798726328,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"179","518547","Simpson",0.89057076308622,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"180","518549","Simpson",0.889951175109563,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"181","518555","Simpson",0.896756910119048,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"182","518557","Simpson",0.906862507606521,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"183","518559","Simpson",0.909519931715016,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"184","518563","Simpson",0.928006066392302,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"185","518565","Simpson",0.931843763321371,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"186","518567","Simpson",0.93192921676509,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"187","518568","Simpson",0.890170191402946,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"188","518570","Simpson",0.904295690739708,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"189","518571","Simpson",0.909234331667738,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"190","518585","Simpson",0.878216789314393,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"191","518587","Simpson",0.886255068511013,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"192","518591","Simpson",0.882215613430868,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
"193","518595","Simpson",0.904514897955829,518595,"78","M149","SambD",3,3,"7/3/2025","groupC"
"194","518597","Simpson",0.918884644062195,518597,"72","M78","SambD",5,3.6,"7/3/2025","groupC"
"195","518601","Simpson",0.918022452030574,518601,"84","M77","SambD",9,3.2,"7/3/2025","groupC"
"196","518605","Simpson",0.920362648294749,518605,"95","M97","SambSH",3,2.2,"7/3/2025","groupC"
"197","518607","Simpson",0.931580134502506,518607,"93","M93","SambSH",5,2.1,"7/3/2025","groupC"
"198","518609","Simpson",0.932457205372833,518609,"96","M91","SambSH",7,2.1,"7/3/2025","groupC"
"199","518615","Simpson",0.87880173167849,518615,"103","M84","SacrD",3,3.2,"7/4/2025","groupD"
"200","518617","Simpson",0.866920716836119,518617,"102","M112","SacrD",5,3.1,"7/4/2025","groupD"
"201","518619","Simpson",0.88726652001108,518619,"100","M86","SacrD",7,3.1,"7/4/2025","groupD"
"202","518623","Simpson",0.881884871362434,518623,"114","M118","SacrSH",1,1.5,"7/7/2025","groupD"
"203","518627","Simpson",0.875691426616311,518627,"118","M120","SacrSH",5,1.5,"7/7/2025","groupD"
"204","518629","Simpson",0.882195637725974,518629,"119","M122","SacrSH",7,1.5,"7/7/2025","groupD"
"205","518633","Simpson",0.891869539598479,518633,"121","M132","TH",1,1,"7/9/2025","groupC"
"206","518637","Simpson",0.898581082963961,518637,"124","M129","TH",5,2.1,"7/9/2025","groupC"
"207","518641","Simpson",0.889254365291079,518641,"129","M123","TH",9,3.2,"7/9/2025","groupC"
"208","518645","Simpson",0.866570779891737,518645,"139","M133","PadH",3,4.6,"7/10/2025","groupC"
"209","518647","Simpson",0.882712500419007,518647,"130","M136","PadH",5,5.5,"7/10/2025","groupC"
"210","518651","Simpson",0.877341006940649,518651,"134","M139","PadH",9,5.8,"7/10/2025","groupC"
"211","518514","InvSimpson",8.24122655292119,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"212","518515","InvSimpson",7.7382184136344,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"213","518517","InvSimpson",8.16664057292132,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"214","518524","InvSimpson",8.24356141939068,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"215","518526","InvSimpson",8.16019315976425,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"216","518528","InvSimpson",8.05021739749047,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"217","518535","InvSimpson",13.4066920707167,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"218","518540","InvSimpson",10.1691616684551,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"219","518542","InvSimpson",12.3008706700562,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"220","518545","InvSimpson",9.04713729100579,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"221","518547","InvSimpson",9.1383256267053,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"222","518549","InvSimpson",9.08687576623909,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"223","518555","InvSimpson",9.68587826219731,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"224","518557","InvSimpson",10.7368147273634,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"225","518559","InvSimpson",11.0521578835497,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"226","518563","InvSimpson",13.8900592020585,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"227","518565","InvSimpson",14.6721715976663,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"228","518567","InvSimpson",14.6905904776949,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"229","518568","InvSimpson",9.10499629175196,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"230","518570","InvSimpson",10.4488502945071,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"231","518571","InvSimpson",11.0173815537758,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"232","518585","InvSimpson",8.21131249841637,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"233","518587","InvSimpson",8.79160053032186,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"234","518591","InvSimpson",8.49008963860471,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
"235","518595","InvSimpson",10.4728379463574,518595,"78","M149","SambD",3,3,"7/3/2025","groupC"
"236","518597","InvSimpson",12.3281219497668,518597,"72","M78","SambD",5,3.6,"7/3/2025","groupC"
"237","518601","InvSimpson",12.1984619541556,518601,"84","M77","SambD",9,3.2,"7/3/2025","groupC"
"238","518605","InvSimpson",12.5569218286056,518605,"95","M97","SambSH",3,2.2,"7/3/2025","groupC"
"239","518607","InvSimpson",14.6156382028642,518607,"93","M93","SambSH",5,2.1,"7/3/2025","groupC"
"240","518609","InvSimpson",14.8054282550782,518609,"96","M91","SambSH",7,2.1,"7/3/2025","groupC"
"241","518615","InvSimpson",8.25094297013583,518615,"103","M84","SacrD",3,3.2,"7/4/2025","groupD"
"242","518617","InvSimpson",7.51431760245166,518617,"102","M112","SacrD",5,3.1,"7/4/2025","groupD"
"243","518619","InvSimpson",8.87047929415719,518619,"100","M86","SacrD",7,3.1,"7/4/2025","groupD"
"244","518623","InvSimpson",8.46631597099201,518623,"114","M118","SacrSH",1,1.5,"7/7/2025","groupD"
"245","518627","InvSimpson",8.04449743714312,518627,"118","M120","SacrSH",5,1.5,"7/7/2025","groupD"
"246","518629","InvSimpson",8.48865000154994,518629,"119","M122","SacrSH",7,1.5,"7/7/2025","groupD"
"247","518633","InvSimpson",9.24808787724295,518633,"121","M132","TH",1,1,"7/9/2025","groupC"
"248","518637","InvSimpson",9.86009345420884,518637,"124","M129","TH",5,2.1,"7/9/2025","groupC"
"249","518641","InvSimpson",9.02970128464528,518641,"129","M123","TH",9,3.2,"7/9/2025","groupC"
"250","518645","InvSimpson",7.49461024495695,518645,"139","M133","PadH",3,4.6,"7/10/2025","groupC"
"251","518647","InvSimpson",8.52605779450047,518647,"130","M136","PadH",5,5.5,"7/10/2025","groupC"
"252","518651","InvSimpson",8.1526839170784,518651,"134","M139","PadH",9,5.8,"7/10/2025","groupC"
"253","518514","Fisher",255.272513947853,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"254","518515","Fisher",255.522978339253,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"255","518517","Fisher",259.013238516744,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"256","518524","Fisher",255.981260498866,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"257","518526","Fisher",257.724868174953,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"258","518528","Fisher",258.463192268701,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"259","518535","Fisher",261.914539340062,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"260","518540","Fisher",258.601678225552,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"261","518542","Fisher",260.772020976711,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"262","518545","Fisher",256.952906238819,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"263","518547","Fisher",252.771209550825,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"264","518549","Fisher",253.264079691993,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"265","518555","Fisher",255.130630655467,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"266","518557","Fisher",252.680463742551,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"267","518559","Fisher",256.27596473056,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"268","518563","Fisher",268.035243906939,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"269","518565","Fisher",265.724502354753,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"270","518567","Fisher",268.349679939372,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"271","518568","Fisher",258.435140348914,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"272","518570","Fisher",266.709861879435,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"273","518571","Fisher",267.393964893983,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"274","518585","Fisher",267.232019271207,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"275","518587","Fisher",263.793289401084,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"276","518591","Fisher",266.275687645992,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
